ID,TraitCondID,TraitNodeEntryID
5,28398,123403
6,28412,123402
7,28413,123401
8,28414,123400
10,28405,123774
11,28406,124689
12,28407,125907
13,28408,125906
15,28410,125904
16,28411,125903
17,28415,125902
18,28416,125901
20,28418,125899
21,28419,125898
22,28420,125897
23,28421,125896
25,28423,125894
26,28424,125893
27,28425,125892
28,28426,125891
30,28428,125981
31,28429,125980
32,28430,125979
33,28431,125978
35,28433,125884
36,28434,125883
37,28435,125882
38,28436,125881
40,28438,123394
41,28439,123395
42,28440,123398
43,28441,123397
45,28443,123775
46,28444,125931
47,28445,125930
48,28446,125929
50,28448,125927
51,28449,125926
52,28450,125925
53,28451,125924
55,28453,125922
56,28454,125921
57,28455,125920
58,28456,125919
60,28458,125917
61,28459,125916
62,28460,125915
63,28461,125914
65,28463,125912
66,28464,125911
67,28465,125910
68,28466,125909
71,41153,128124
72,41152,128123
73,41151,128122
74,41150,128121
75,41169,117528
76,41177,117289
83,41185,117493
84,41186,117510
85,41190,117213
89,41194,123304
90,41200,117262
91,41197,117263
92,41199,123418
93,41196,123832
94,41201,117654
95,41202,117213
96,41222,117177
97,41221,117177
98,41226,117183
99,41225,117183
100,41208,117185
101,41207,117185
102,41204,117188
103,41203,117188
104,41212,117200
105,41211,117200
106,41214,117201
107,41213,117201
108,41231,123781
109,41230,123781
111,41228,123871
112,41247,117253
113,41246,117253
114,41239,123867
115,41238,123867
116,41250,125030
117,41251,125031
118,41249,125038
119,41248,125041
120,41256,125048
121,41255,125048
122,41257,125049
123,41258,125049
124,41254,125051
125,41259,125057
126,41262,117814
127,41273,117816
128,41272,117816
130,41263,117859
131,41276,117883
132,41288,117278
133,41296,117289
134,41289,119331
135,41303,117711
136,41302,117731
137,41317,117432
138,41319,117433
139,41318,118837
140,41312,123840
141,41326,117414
142,41325,118835
144,41355,128144
145,41359,128145
146,41362,128146
147,41366,128147
148,41356,128148
149,41352,128149
150,41363,128150
151,41353,128151
152,41357,128152
153,41361,128153
154,41364,128154
155,41354,128155
156,41367,128156
157,41368,128157
158,41369,128158
159,41370,128159
160,41371,128160
161,41372,128161
162,41373,128162
163,41374,128163
164,41375,128164
165,41376,128165
166,41377,128166
167,41378,128167
168,41379,128168
169,41380,128169
170,41381,128170
171,41382,128171
172,41384,128172
173,41385,128173
174,41386,128174
175,41387,128175
176,41388,128176
177,41389,128177
178,41390,128178
179,41391,128179
180,41392,128180
181,41393,128181
182,41394,128182
183,41395,128183
184,41396,128184
185,41397,128185
186,41398,128186
187,41399,128187
188,41400,128188
189,41401,128189
190,41402,128190
191,41403,128191
192,41404,128192
193,41405,128193
194,41406,128194
195,41407,128195
196,41408,128196
197,41409,128197
198,41410,128198
199,41411,128199
201,41421,125051
202,41422,125038
203,41502,123047
204,41503,123047
208,41515,117567
209,41517,119332
210,41518,119332
214,41851,128456
215,41914,128457
216,41853,128458
217,41854,128459
218,41855,128460
219,41902,128461
220,41857,128462
221,41858,128463
222,41859,128464
223,41890,128465
224,41861,128466
225,41862,128467
226,41863,128468
227,41882,128469
228,41867,128470
229,41869,128471
230,41871,128472
231,41873,128473
232,41875,128474
233,41877,128475
234,41879,128476
235,41881,128477
236,41883,128478
237,41885,128479
238,41887,128480
239,41889,128481
240,41891,128482
241,41893,128483
242,41897,128488
243,41874,128489
244,41901,128490
245,41903,128491
246,41905,128492
247,41907,128493
248,41909,128494
249,41911,128495
250,41913,128496
251,41915,128497
252,41917,128498
253,41918,128499
254,41920,128500
255,41921,128501
256,41922,128502
257,41870,128503
258,41876,128504
259,41868,128505
260,41878,128506
261,41866,128507
262,41884,128508
263,41886,128509
264,41888,128510
265,41892,128511
266,41894,128512
267,41896,128513
268,41906,128514
269,41908,128515
270,41981,117222
327,42153,117260
328,42151,128267
329,42152,128267
330,42748,128607
332,42750,128604
333,42751,128605
334,42752,128606
335,42753,128280
336,42754,128282
337,42755,128283
338,42756,128284
339,42757,128285
340,42758,128286
341,42759,128287
342,42761,128289
343,42760,128292
344,42762,128293
